 ,m3,ppi,cpi,gdp,m1nsa,ddnsa
1960q1,692,25.4,19.280001,2391,140.53,111.67
1960q2,701.59998,25.440001,19.4,2379.2,138.42999,109.47
1960q3,709.5,25.370001,19.450001,2383.6001,139.60001,110.33
1960q4,722.09998,25.4,19.559999,2352.8999,142.67999,113.23
1961q1,726.20001,25.49,19.57,2366.5,142.22,113.4
1961q2,735.29999,25.24,19.58,2410.8,141.36,112.48
1961q3,748.20001,25.24,19.68,2450.3999,142.00999,112.62
1961q4,764.70001,25.280001,19.700001,2500.3999,146.62,116.71
1962q1,772.79999,25.42,19.74,2544,146.36,116.76
1962q2,786.90002,25.280001,19.83,2571.5,145.35001,115.38
1962q3,798.79999,25.41,19.91,2596.8,144.97,114.49
1962q4,817.29999,25.370001,19.959999,2603.3,149.23,118.29
1963q1,826.90002,25.280001,19.99,2634.1001,149.53,118.76
1963q2,841.29999,25.24,20.030001,2668.3999,148.85001,117.53
1963q3,852.5,25.34,20.18,2719.6001,150.13,118.02
1963q4,872,25.360001,20.23,2739.3999,155.2,122.38
1964q1,883.09998,25.389999,20.280001,2800.5,154.95,122.28
1964q2,899.20001,25.27,20.32,2833.8,153.94,120.66
1964q3,913.40002,25.35,20.41,2872,156.25,122.16
1964q4,935.29999,25.42,20.469999,2879.5,162.03999,127.29
1965q1,949.29999,25.530001,20.51,2950.1001,161.82001,127.29
1965q2,965.70001,25.790001,20.66,2989.8999,160.60001,125.68
1965q3,978.70001,25.98,20.75,3050.7,162.32001,126.49
1965q4,1002.1,26.129999,20.84,3123.6001,169.12,132.33
1966q1,1017.5,26.530001,21.01,3201.1001,170.39999,133.66
1966q2,1036.2,26.639999,21.219999,3213.2,170.14,132.82001
1966q3,1049.2,26.93,21.43,3233.6001,169.53,131.34
1966q4,1069.1,26.75,21.59,3261.8,173.78,134.92999
1967q1,1080.3,26.74,21.629999,3291.8,173.7,134.98
1967q2,1093,26.700001,21.780001,3289.7,174.21001,135.00999
1967q3,1112.5,26.809999,22.01,3313.5,178.05,138.03999
1967q4,1143.3,26.860001,22.190001,3338.3,184.72,143.87
